Date,Username,Rating,Review
N/A,N/A,NA,N/A
"Nov 16, 2023",Donald F.,5,Went up to see the daughter in Morgantown! Wanted something nice to eat.. found this place... was not disappointed.  Food and service was outstanding.  Highly Recommended
"May 3, 2024",Marianne D.,3,The bartender was amazing and he made really good drinks. The food was awful!!!I will go back for drinks but I will never order from the menu.
"Jul 29, 2023",Brooke T.,1,"Shown are the appetizers of Cheesy Nachos with prime filet add on. Was not impressed with this at all. Cheese was just microwaved on. Asked for no peppers (due to allergy) and all that cane out was nachos, cheese, and steak. The steak was def not prime filet. It was well done, super difficult to chew and tasted like scraps from a steak. Very disappointing and not worth the cost. No substitute was ever brought out for my pepper allergy. So this place does not do accommodations for food allergies. Cheese logs were a favorite of mine but they were brought out ice cold and the cheese was hard. Not pull apart at the mouth. The breading was pretty good though and had lots of flavor. Next is the chipotle burger. We ordered it medium rare and came out well done. Very small burger. Fries/chips were not bad. But this dish had way to much salt added. Ambiance was pretty tachy. Lots of empty high end liquor bottles scattered all of the restaurant for decoration and they were all dusty. Lot of loud people with nothing in the restaurant that absorbs sound. Seemed that a lot of older folks were there eating. Inside was pretty cold, so bring a jacket. Wait staff was friendly but didnt know the menu well at all. Overall i do not recommend this restaurant."
"Feb 17, 2024",Sara L.,3,"We walked in and immediately felt under dressed, but we rolled with it.  Ordered the Greek sampler to start - it was okay.  My theme for the night was everything was pricey for what you get and it started with the appetizer.  The best entree was the porcini truffle ravioli - the chipotle cream sauce was tasty, but sweet and not spicy at all.  The blackened shrimp was far from blackened and had very little seasoning, but cooked well.  My husband and son both ordered honey salmon and said it was okay, but the skin was limp.  My other son had a chipotle burger and enjoyed it, but said it wasn't anything special.  My daughter had the ceasar salad - well dressed and fresh.  For the money, I'd recommend plenty of other options in the area.  The biggest plus was the waitress - she was attentive, not pushy, and there when we needed something."
"Mar 12, 2024",Jen G.,5,"Food was great. Service wonderful. One of the better places in Motown hands down. Our group had steak, pasta, sushi and all were fantastic. Great happy hour as well"
"Jan 24, 2024",Rachel N.,1,I put in a to go sushi order today including a salmon sashimi and a rainbow roll. The roll had an excessive amount of rice and the topping looked like they were just thrown on there. The sashimi I ordered was also very slimy. I normally love the sushi at Bartini but something about it recently has just not been up to par.
"Dec 17, 2023",Maddie D.,3,"Super busy restaurant, kitchen was slow. The food was just okay. The sushi looked good. Ordered the smothered chicken and it wasn't what the description said. High end restaurant not that high end of food. Just okay."
"Feb 20, 2024",Landon R.,1,"DO NOT EAT HEREAbsolutely Horrible, would definitely rate a zero if i could. Came here on a Tuesday with a reservation and the experience was absolutely horrendous. Ordered chicken nachos as an app and they came out cold and without the bell peppers and corn, as well as the chicken looking microwaved and like plastic. Waited 15 minutes for the server to come up  with our entrees just to be told they were out of the bell peppers and corn. Our Steak and Cake was way over cooked (well done on a medium) and the crab cake tasted expired and cold. Had the Porcini and Truffle Ravioli, shrimp were not blackened but rather boiled and tasteless. The ravioli themselves were great but ruined by the sour tasting sauce. Ambiance was poor overall. As servers, we are usually not ones to complain but the service coupled with the horrid food definitely makes this a place we will no longer go. DO NOT EAT HERE. Paying 120 dollars for possibly the worst dining experience you will ever had is not worth it."
"Dec 14, 2023",Lori P.,3,"We chose this restaurant because our son LOVES steak and was really missing a good steak dinner while at college. The place has an upscale feel and the servers are very attentive. We ordered nachos and a sushi roll for appetizers. The nachos were unremarkable (even my son, who is normally excited by any nachos was not really impressed at the lack of toppings and flavor- was basically chips, cheese and chicken). I didn't even take a picture of it, though you see a glimpse in one of the photos I did take. The sushi roll was excellent- beautiful presentation and delicious. I ordered a filet and crabcake combo and my son got a filet. He did not make any remarks about his steak, which was prepared to requested temp (a task some places seem to struggle with). Mine was simply bad. It was literally cold, had no flavor and I took one bite and moved on to the crabcake, which was ok but not up to my Maryland standards. This reminds me why I don't order crabcakes away from home. My husband got sushi and aside from accidentally eating the whole wasabi portion in one bite, was thoroughly pleased with his meal. Bottom line of my review? Drop the steaks, focus on the sushi. There's definitely something worth pursuing there. Will return but won't go for anything else there again."
