poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,yes,no,alternate_answers
86985,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/19/24,5/21/24,,"",,199577,1784,a,,a,,5/22/24 11:37,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_s4KUtSf.pdf,"",,,33.0,53.0,14.0
86985,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/19/24,5/21/24,,"",,199578,1560,rv,,rv,,5/22/24 11:37,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_9aJ08Ik.pdf,"",,,39.0,52.0,9.0
86995,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,5/6/24,5/15/24,,"",,199582,1033,a,,a,,5/22/24 11:37,"",https://law.marquette.edu/poll/wp-content/uploads/2024/05/MLSPSC20Toplines_CourtItems.html,"",,,39.0,61.0,0
86995,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,5/6/24,5/15/24,,"",,199586,793,rv,,rv,,5/22/24 11:38,"",https://law.marquette.edu/poll/wp-content/uploads/2024/05/MLSPSC20Toplines_CourtItems.html,"",,,39.0,61.0,0
86995,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,5/6/24,5/15/24,,"",,199798,684,lv,,lv,,5/23/24 09:42,"",https://law.marquette.edu/poll/2024/05/23/detailed-results-of-the-marquette-law-school-supreme-court-poll-may-6-15-2024-2/,"",,,40.0,60.0,0
86949,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/12/24,5/14/24,,"",,199053,1830,a,,a,,5/15/24 10:27,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_eJHOoqw.pdf,"",,,35.0,51.0,14.0
86949,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/12/24,5/14/24,,"",,199054,1586,rv,,rv,,5/15/24 10:27,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nURRSN3.pdf,"",,,38.0,51.0,10.0
86876,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/5/24,5/7/24,,"",,198565,1813,a,,a,,5/8/24 10:56,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Agwhapd.pdf,"",,,32.0,54.0,14.0
86876,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,5/5/24,5/7/24,,"",,198566,1598,rv,,rv,,5/8/24 10:56,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Agwhapd.pdf,"",,,36.0,55.0,9.0
86773,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/28/24,4/30/24,,"",,197964,1755,a,,a,,5/1/24 10:35,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Jii0w9t.pdf,"",,,34.0,51.0,16.0
86773,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/28/24,4/30/24,,"",,197965,1479,rv,,rv,,5/1/24 10:35,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_0NJUiMQ.pdf,"",,,37.0,53.0,9.0
86717,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/21/24,4/23/24,,"",,197166,1651,a,,a,,4/24/24 11:05,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_20240422.pd,"",,,35.0,54.0,11.0
86717,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/21/24,4/23/24,,"",,197167,1470,rv,,rv,,4/24/24 11:05,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_20240422.pdf,"",,,37.0,56.0,7.0
86671,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/14/24,4/16/24,,"",,196645,1574,a,,a,,4/17/24 09:43,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_HUWb9FO.pdf,"",,,36.0,49.0,15.0
86671,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/14/24,4/16/24,,"",,196646,1358,rv,,rv,,4/17/24 09:43,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HqmM53D.pdf,"",,,40.0,51.0,9.0
86631,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/6/24,4/9/24,,"",,196317,1795,a,,a,,4/10/24 10:09,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_YmA9r9F.pdf,"",,,36.0,51.0,13.0
86631,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,4/6/24,4/9/24,,"",,196318,1583,rv,,rv,,4/10/24 10:09,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_lMxEeEw.pdf,"",,,40.0,52.0,8.0
86592,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/30/24,4/2/24,,"",,195985,1813,a,,a,,4/3/24 11:58,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_XCNmw8x.pdf,"",,,34.0,54.0,12.0
86592,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/30/24,4/2/24,,"",,195986,1604,rv,,rv,,4/3/24 11:58,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5VGK6NY.pdf,"",,,37.0,55.0,8.0
86591,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,3/18/24,3/28/24,,"",,195968,1000,a,,a,,4/3/24 10:59,"",https://law.marquette.edu/poll/wp-content/uploads/2024/04/MLSPSC19PressRelease_CourtIssues.pdf,"",,,47.0,53.0,0
